sex,failures,Fedu,Medu,Fjob,Mjob,famsup,schoolsup,age,higher,activities,G3_class,guardian,studytime_bin,famrel_bin,freetime_bin,goout_bin,Walc_bin,health_bin
F,0,4,4,teacher,at_home,no,yes,18,yes,no,0,mother,0,1,0,1,0,0
F,0,1,1,other,at_home,yes,no,17,yes,no,0,father,0,1,0,0,0,0
F,3,1,1,other,at_home,no,yes,15,yes,no,0,mother,0,1,0,0,0,0
F,0,2,4,services,health,yes,no,15,yes,yes,1,mother,1,0,0,0,0,1
F,0,3,3,other,other,yes,no,16,yes,no,0,father,0,1,0,0,0,1
M,0,3,4,other,services,yes,no,16,yes,yes,1,mother,0,1,1,0,0,1
M,0,2,2,other,other,no,no,16,yes,no,1,mother,0,1,1,1,0,0
F,0,4,4,teacher,other,yes,yes,17,yes,no,0,mother,0,1,0,1,0,0
M,0,2,3,other,services,yes,no,15,yes,no,1,mother,0,1,0,0,0,0
M,0,4,3,other,other,yes,no,15,yes,yes,1,mother,0,1,1,0,0,1
F,0,4,4,health,teacher,yes,no,15,yes,no,0,mother,0,0,0,0,0,0
F,0,1,2,other,services,yes,no,15,yes,yes,1,father,1,1,0,0,0,1
M,0,4,4,services,health,yes,no,15,yes,yes,1,father,0,1,0,0,0,1
M,0,3,4,other,teacher,yes,no,15,yes,no,1,mother,0,1,1,0,0,0
M,0,2,2,other,other,yes,no,15,yes,no,1,other,1,1,1,0,0,0
F,0,4,4,other,health,yes,no,16,yes,no,1,mother,0,1,1,1,0,0
F,0,4,4,services,services,yes,no,16,yes,yes,1,mother,1,0,0,0,0,0
F,0,3,3,other,other,yes,yes,16,yes,yes,0,mother,0,1,0,0,0,1
M,3,2,3,services,services,yes,no,17,yes,yes,0,mother,0,1,1,1,1,1
M,0,3,4,other,health,no,no,16,yes,yes,0,father,0,0,0,0,0,1
M,0,3,4,other,teacher,no,no,15,yes,no,1,mother,0,1,1,0,0,0
M,0,4,4,health,health,yes,no,15,yes,no,1,father,0,1,1,0,0,1
M,0,2,4,other,teacher,no,no,16,yes,yes,1,mother,0,1,1,0,0,1
M,0,2,2,other,other,yes,no,16,yes,yes,1,mother,0,1,1,1,1,1
F,0,4,2,health,services,yes,yes,15,yes,yes,0,mother,1,1,0,0,0,1
F,2,2,2,services,services,yes,no,16,yes,no,0,mother,0,0,0,0,0,1
M,0,2,2,other,other,yes,no,15,yes,no,1,mother,0,1,0,0,0,1
M,0,2,4,services,health,no,no,15,yes,no,1,mother,0,0,0,1,1,0
M,0,4,3,other,services,yes,yes,16,yes,yes,1,mother,0,1,0,0,0,1
M,0,4,4,teacher,teacher,yes,no,16,yes,yes,1,mother,0,1,1,1,1,1
M,0,4,4,services,health,yes,no,15,yes,no,1,mother,0,1,1,0,1,1
M,0,4,4,services,services,yes,no,15,yes,yes,1,mother,0,1,0,0,0,1
M,0,3,4,at_home,teacher,yes,no,15,yes,yes,1,mother,0,1,1,0,0,1
M,0,3,3,other,other,no,no,15,yes,yes,1,mother,0,1,0,0,0,0
M,0,2,3,other,other,yes,no,16,yes,no,1,mother,0,1,1,0,0,1
F,0,3,2,other,other,yes,no,15,yes,yes,0,father,0,0,1,0,0,1
M,0,3,4,services,teacher,yes,no,15,yes,yes,1,mother,1,1,1,0,0,1
M,0,4,4,teacher,other,yes,no,16,yes,yes,1,mother,1,0,1,0,0,1
F,0,4,3,health,services,yes,yes,15,yes,yes,1,mother,1,1,0,0,0,1
F,0,2,2,other,at_home,yes,yes,15,yes,yes,1,mother,0,1,0,0,0,0
F,1,2,2,other,other,yes,no,16,yes,yes,1,mother,0,0,0,0,0,0
M,0,4,4,other,teacher,yes,no,15,yes,no,1,other,0,1,1,0,1,1
M,0,4,4,teacher,services,yes,no,15,yes,yes,1,father,0,1,0,0,0,1
M,0,2,2,services,services,yes,yes,15,yes,no,1,father,0,1,1,0,0,0
F,1,2,2,at_home,other,no,yes,16,yes,yes,0,father,0,1,0,0,0,1
F,0,3,4,other,other,yes,yes,15,yes,yes,0,mother,0,1,0,0,0,1
F,0,3,3,services,other,yes,no,16,yes,no,1,mother,0,0,0,1,1,0
M,0,3,4,services,health,no,no,16,yes,yes,1,mother,1,1,0,0,0,0
M,0,2,4,other,teacher,yes,no,15,yes,no,1,mother,0,1,0,0,0,1
F,1,4,4,teacher,services,yes,yes,15,yes,yes,0,father,0,1,1,1,0,0
F,0,2,2,services,services,yes,no,16,yes,no,1,mother,0,1,0,0,0,1
F,0,2,4,other,health,yes,no,15,yes,no,1,mother,0,1,0,0,0,1
M,1,2,4,health,health,no,no,15,yes,no,0,father,0,1,1,1,1,1
F,0,4,4,services,services,yes,yes,15,yes,no,1,mother,0,0,0,1,0,1
F,0,3,3,other,other,no,no,15,yes,no,1,mother,0,1,0,1,1,0
F,0,1,2,other,other,no,no,16,yes,yes,0,mother,0,1,0,1,0,0
F,0,3,4,services,services,yes,no,15,yes,yes,1,mother,0,1,0,0,0,0
M,0,4,4,health,teacher,yes,no,15,yes,yes,1,mother,0,0,0,0,0,1
M,0,2,1,at_home,other,yes,yes,15,yes,yes,0,father,0,1,0,0,0,1
F,0,2,4,other,services,yes,no,16,yes,no,1,mother,0,1,0,0,0,1
F,0,4,4,teacher,health,yes,no,16,yes,yes,1,mother,0,0,1,1,0,1
F,0,1,1,services,services,yes,yes,16,yes,yes,1,father,0,1,1,1,1,1
F,0,2,1,services,other,no,yes,16,yes,yes,0,father,0,1,1,0,0,0
F,0,3,4,health,teacher,yes,yes,16,yes,yes,0,mother,1,0,1,1,1,1
F,0,3,4,services,services,no,yes,15,yes,yes,0,father,0,1,1,1,1,0
F,0,3,4,services,teacher,yes,no,16,yes,yes,1,mother,0,1,1,0,0,0
M,0,4,4,services,other,yes,no,15,yes,yes,1,mother,1,0,0,0,1,0
F,0,1,3,other,services,yes,yes,16,yes,no,0,mother,1,1,0,0,0,1
F,0,2,2,services,health,yes,yes,15,yes,no,0,mother,0,1,0,0,0,1
F,0,1,3,other,other,yes,no,15,yes,no,1,father,1,1,1,0,0,0
M,0,1,3,other,other,yes,no,16,yes,no,1,father,1,1,0,0,0,1
M,0,2,4,other,other,no,no,15,yes,no,0,mother,1,0,0,0,0,0
F,2,1,1,other,other,yes,yes,15,yes,no,0,mother,0,0,0,1,1,1
M,0,1,3,other,other,no,no,16,yes,yes,1,mother,0,1,0,0,0,1
F,0,3,3,services,other,yes,yes,16,yes,yes,1,mother,0,1,0,0,1,1
M,0,3,4,other,teacher,yes,no,15,yes,yes,0,mother,0,1,0,0,0,1
M,0,0,4,other,teacher,no,no,15,yes,yes,0,mother,1,0,1,0,0,0
F,0,2,2,other,other,no,no,16,yes,no,1,mother,1,1,0,0,0,0
M,3,1,2,other,other,yes,yes,17,no,yes,0,mother,0,1,1,0,0,0
F,0,4,3,other,at_home,yes,no,16,yes,no,0,mother,0,0,1,0,0,0
M,0,3,2,services,other,yes,yes,15,yes,yes,1,father,0,0,0,0,0,0
M,0,3,2,other,other,no,yes,15,yes,no,1,mother,1,1,0,0,0,1
F,0,2,3,other,services,yes,no,15,yes,no,0,mother,0,1,1,1,0,1
M,0,2,2,services,services,no,no,15,yes,yes,1,mother,0,1,0,0,0,1
F,0,1,1,other,other,yes,no,15,yes,yes,0,father,0,1,0,0,0,1
F,2,4,4,services,services,no,no,15,yes,no,0,father,0,1,1,1,0,1
F,0,2,2,other,at_home,yes,no,16,yes,no,0,mother,0,1,0,1,0,0
F,0,2,4,other,other,yes,no,15,yes,yes,1,mother,1,1,0,0,0,0
M,1,2,2,other,services,no,no,16,yes,yes,0,father,0,1,1,0,0,0
M,0,4,4,health,teacher,yes,no,16,yes,no,0,mother,0,1,0,0,1,1
F,0,3,3,other,other,yes,no,16,yes,no,0,mother,1,1,0,0,0,1
F,0,3,4,other,services,no,no,15,yes,yes,1,mother,0,1,1,1,0,0
F,0,1,3,other,other,yes,yes,16,yes,no,0,father,0,0,0,0,0,0
F,0,2,4,services,teacher,yes,no,16,yes,yes,0,mother,0,1,0,0,0,0
M,0,2,2,health,services,yes,no,15,yes,yes,1,mother,1,1,0,1,0,1
F,1,1,1,other,at_home,yes,yes,15,yes,yes,0,mother,1,0,0,0,0,0
M,0,3,4,other,services,yes,yes,16,yes,yes,1,mother,0,0,0,0,0,1
F,0,1,2,other,other,yes,no,16,yes,no,0,mother,0,1,0,1,0,1
F,0,4,4,other,other,no,no,16,yes,yes,1,mother,0,1,0,1,0,0
F,0,3,4,at_home,other,yes,yes,16,yes,no,0,mother,1,1,0,1,0,0
M,0,4,4,services,services,yes,yes,16,yes,yes,0,mother,0,1,1,1,1,1
M,0,4,4,teacher,services,yes,no,16,yes,yes,1,father,1,1,1,0,0,1
M,0,4,4,other,services,yes,no,15,yes,yes,1,mother,0,1,0,0,0,1
F,0,2,3,other,services,yes,yes,15,yes,no,0,mother,0,1,0,1,0,0
