sex,traveltime,failures,absences,G1,G3_class
F,2,0,6,4,0
F,1,0,4,7,0
F,1,3,10,5,0
F,1,0,2,15,1
F,1,0,4,2,0
M,1,0,10,10,1
M,1,0,0,14,1
F,2,0,6,9,0
M,1,0,0,13,1
M,1,0,0,17,1
F,1,0,0,14,0
F,3,0,4,8,1
M,1,0,2,15,1
M,2,0,2,14,1
M,1,0,0,17,1
F,1,0,4,14,1
F,1,0,6,14,1
F,3,0,4,12,0
M,1,3,16,3,0
M,1,0,4,11,0
M,1,0,0,10,1
M,1,0,0,16,1
M,1,0,2,20,1
M,2,0,0,12,1
F,1,0,2,11,0
F,1,2,14,4,0
M,1,0,2,15,1
M,1,0,4,14,1
M,1,0,4,11,1
M,1,0,16,10,1
M,1,0,0,14,1
M,2,0,0,19,1
M,1,0,0,13,1
M,1,0,0,10,1
M,1,0,0,14,1
F,2,0,0,12,0
M,1,0,2,19,1
M,2,0,7,18,1
F,1,0,2,12,1
F,1,0,8,17,1
F,2,1,25,3,1
M,1,0,8,8,1
M,1,0,2,17,1
M,1,0,0,11,1
F,2,1,14,10,0
F,1,0,8,4,0
F,1,0,12,8,1
M,1,0,4,24,1
M,1,0,2,15,1
F,1,1,2,7,0
F,3,0,2,10,1
F,1,0,2,7,1
M,2,1,6,16,0
F,1,0,0,12,1
F,1,0,6,8,1
F,1,0,8,9,0
F,1,0,0,17,1
M,1,0,4,14,1
M,1,0,2,11,0
F,1,0,2,17,1
F,1,0,6,10,1
F,4,0,6,10,1
F,1,0,4,13,0
F,1,0,2,11,0
F,1,0,0,10,0
F,3,0,2,18,1
M,1,0,4,15,1
F,1,0,4,7,0
F,2,0,2,4,0
F,2,0,12,13,1
M,2,0,0,8,1
M,1,0,0,12,0
F,1,2,2,4,0
M,1,0,2,12,1
F,1,0,54,9,1
M,1,0,6,12,0
M,2,0,8,7,0
F,1,0,0,9,1
M,2,3,2,4,0
F,1,0,12,10,0
M,1,0,2,8,1
M,1,0,4,12,1
F,1,0,10,4,0
M,2,0,4,18,1
F,1,0,2,12,0
F,2,2,6,7,0
F,1,0,4,4,0
F,1,0,4,12,1
M,2,1,12,7,0
M,1,0,18,5,0
F,1,0,0,11,0
F,1,0,4,13,1
F,1,0,4,7,0
F,2,0,0,12,0
M,1,0,6,7,1
F,2,1,2,9,0
M,2,0,2,11,1
F,1,0,2,9,0
F,1,0,6,16,1
F,1,0,0,5,0
M,1,0,14,11,0
M,1,0,0,16,1
M,1,0,4,12,1
F,2,0,26,12,0
M,1,0,0,21,1
F,1,0,10,6,1
F,1,0,8,4,0
M,1,0,2,13,1
M,4,0,6,8,1
F,1,0,4,11,1
M,1,0,6,17,1
F,1,1,0,6,0
F,1,1,6,12,1
M,1,0,10,14,1
M,1,0,8,9,0
M,1,0,2,20,1
M,2,0,2,14,1
M,2,0,0,9,1
M,3,1,20,4,0
M,1,0,6,11,1
F,1,0,2,16,1
M,1,0,6,17,1
F,2,0,2,12,1
M,1,0,18,11,1
F,1,0,0,12,0
M,1,0,0,14,1
F,1,0,0,2,1
F,1,3,2,9,0
M,1,2,0,10,0
M,1,0,8,22,1
F,2,2,0,12,0
F,3,0,0,9,0
F,1,0,12,10,1
F,1,0,16,7,1
M,4,0,0,8,0
F,1,0,0,15,0
M,3,0,0,15,0
F,2,2,0,7,0
M,1,1,0,11,1
F,2,0,0,12,1
M,2,0,0,10,0
M,2,2,8,10,0
F,1,0,2,5,1
F,1,0,2,17,1
M,1,3,0,6,0
F,1,0,0,5,1
F,1,3,0,5,0
F,1,0,2,7,1
M,1,0,0,9,0
M,4,3,0,4,0
M,1,3,0,5,0
M,1,1,6,13,1
F,2,2,8,11,0
M,1,3,0,5,0
F,1,0,0,9,1
M,1,0,2,8,0
M,1,0,8,18,1
F,3,3,6,7,0
M,3,0,2,15,1
M,1,1,4,8,1
M,2,2,0,7,0
M,2,2,6,7,0
M,2,1,0,11,0
M,1,0,2,6,0
M,4,3,0,9,0
M,2,1,16,14,1
M,1,0,4,11,0
F,1,0,0,18,1
F,1,0,0,10,0
F,1,0,0,17,1
M,3,2,0,5,0
M,2,0,2,11,1
M,1,0,0,16,0
F,1,3,0,8,0
F,2,0,4,11,0
M,2,0,4,13,0
F,2,0,2,15,1
M,1,0,4,9,0
M,1,0,10,13,0
M,1,0,4,12,1
M,1,0,10,12,0
M,1,0,2,10,1
F,1,0,0,20,1
F,1,0,56,14,0
F,1,0,14,14,1
M,1,0,12,15,1
M,1,0,2,9,1
M,1,0,0,18,1
F,1,0,6,3,0
M,1,0,4,10,0
F,1,0,10,14,1
F,1,0,0,8,0
M,2,0,12,4,0
M,1,0,8,11,0
M,2,0,0,9,1
F,1,0,0,15,1
M,1,0,4,16,1
M,3,0,8,11,0
F,2,1,24,20,1
F,1,0,0,10,0
F,1,0,2,12,1
F,1,0,6,4,0
F,1,0,4,9,0
F,1,0,18,7,0
F,2,0,6,8,1
F,1,1,28,12,0
F,1,3,5,6,0
F,1,0,10,15,1
F,2,0,6,7,0
F,2,0,6,8,0
F,1,0,10,9,0
M,1,0,13,16,1
F,1,0,0,9,1
M,1,1,15,11,0
F,1,0,12,5,0
F,2,0,2,11,1
F,1,2,22,11,0
M,1,1,13,10,0
F,2,0,3,10,0
F,1,0,4,8,0
F,2,0,2,10,0
F,1,1,0,4,0
F,1,0,2,19,1
M,2,0,0,9,1
F,1,0,0,12,1
F,1,1,16,11,0
F,1,0,10,17,1
M,1,0,2,7,1
M,4,0,14,11,0
F,2,0,10,14,1
F,1,0,14,9,1
M,2,0,4,11,1
M,1,0,14,8,0
M,1,0,2,9,1
M,2,0,18,9,0
M,2,0,10,15,0
M,1,0,4,18,1
F,1,0,20,11,1
F,3,0,2,12,1
M,1,1,0,5,0
M,2,0,14,8,1
M,2,0,2,10,1
M,1,0,0,10,0
M,1,0,0,13,1
F,2,0,0,4,0
M,3,0,6,16,1
M,2,0,4,15,1
M,1,3,16,5,0
M,1,1,8,-1,0
M,1,0,0,10,1
M,2,1,0,5,0
M,3,0,6,7,0
M,1,1,4,11,0
M,2,0,0,6,0
M,1,0,0,3,1
M,2,1,2,9,0
F,1,0,6,18,1
M,1,0,12,10,1
M,1,0,8,17,1
F,1,0,0,6,0
F,1,0,21,16,1
M,1,0,2,11,0
M,1,0,1,15,1
F,1,0,4,14,0
F,1,0,0,6,0
M,2,0,13,14,1
M,1,0,2,6,0
F,2,0,8,9,1
M,1,0,10,7,0
F,2,0,0,3,0
F,1,2,15,11,0
F,1,0,4,16,1
F,2,0,2,14,1
M,1,0,2,16,1
F,2,0,2,12,0
F,2,0,6,8,1
F,2,0,75,12,0
M,2,0,22,12,0
F,1,1,15,7,0
M,2,0,8,10,0
M,2,0,30,5,0
