,sex,failures,Fedu,Medu,Fjob,Mjob,health,famsup,schoolsup,age,Walc,higher,studytime,activities,G3_class,guardian
0,F,0,4,4,teacher,at_home,3,no,yes,18,1,yes,2,no,0,mother
1,F,0,1,1,other,at_home,3,yes,no,17,1,yes,2,no,0,father
2,F,3,1,1,other,at_home,3,no,yes,15,3,yes,2,no,0,mother
3,F,0,2,4,services,health,5,yes,no,15,1,yes,3,yes,1,mother
4,F,0,3,3,other,other,5,yes,no,16,2,yes,2,no,0,father
5,M,0,3,4,other,services,5,yes,no,16,2,yes,2,yes,1,mother
6,M,0,2,2,other,other,3,no,no,16,1,yes,2,no,1,mother
7,F,0,4,4,teacher,other,1,yes,yes,17,1,yes,2,no,0,mother
8,M,0,2,3,other,services,1,yes,no,15,1,yes,2,no,1,mother
9,M,0,4,3,other,other,5,yes,no,15,1,yes,2,yes,1,mother
10,F,0,4,4,health,teacher,2,yes,no,15,2,yes,2,no,0,mother
11,F,0,1,2,other,services,4,yes,no,15,1,yes,3,yes,1,father
12,M,0,4,4,services,health,5,yes,no,15,3,yes,1,yes,1,father
13,M,0,3,4,other,teacher,3,yes,no,15,2,yes,2,no,1,mother
14,M,0,2,2,other,other,3,yes,no,15,1,yes,3,no,1,other
15,F,0,4,4,other,health,2,yes,no,16,2,yes,1,no,1,mother
16,F,0,4,4,services,services,2,yes,no,16,2,yes,3,yes,1,mother
17,F,0,3,3,other,other,4,yes,yes,16,1,yes,2,yes,0,mother
18,M,3,2,3,services,services,5,yes,no,17,4,yes,1,yes,0,mother
19,M,0,3,4,other,health,5,no,no,16,3,yes,1,yes,0,father
20,M,0,3,4,other,teacher,1,no,no,15,1,yes,2,no,1,mother
21,M,0,4,4,health,health,5,yes,no,15,1,yes,1,no,1,father
22,M,0,2,4,other,teacher,5,no,no,16,3,yes,2,yes,1,mother
23,M,0,2,2,other,other,5,yes,no,16,4,yes,2,yes,1,mother
24,F,0,4,2,health,services,5,yes,yes,15,1,yes,3,yes,0,mother
25,F,2,2,2,services,services,5,yes,no,16,3,yes,1,no,0,mother
26,M,0,2,2,other,other,5,yes,no,15,2,yes,1,no,1,mother
27,M,0,2,4,services,health,1,no,no,15,4,yes,1,no,1,mother
28,M,0,4,3,other,services,5,yes,yes,16,1,yes,2,yes,1,mother
29,M,0,4,4,teacher,teacher,5,yes,no,16,5,yes,2,yes,1,mother
30,M,0,4,4,services,health,5,yes,no,15,4,yes,2,no,1,mother
31,M,0,4,4,services,services,5,yes,no,15,1,yes,2,yes,1,mother
32,M,0,3,4,at_home,teacher,5,yes,no,15,1,yes,2,yes,1,mother
33,M,0,3,3,other,other,2,no,no,15,1,yes,2,yes,1,mother
34,M,0,2,3,other,other,5,yes,no,16,1,yes,1,no,1,mother
35,F,0,3,2,other,other,5,yes,no,15,1,yes,1,yes,0,father
36,M,0,3,4,services,teacher,4,yes,no,15,1,yes,3,yes,1,mother
37,M,0,4,4,teacher,other,5,yes,no,16,1,yes,3,yes,1,mother
38,F,0,4,3,health,services,5,yes,yes,15,1,yes,3,yes,1,mother
39,F,0,2,2,other,at_home,2,yes,yes,15,1,yes,1,yes,1,mother
40,F,1,2,2,other,other,3,yes,no,16,2,yes,2,yes,1,mother
41,M,0,4,4,other,teacher,5,yes,no,15,4,yes,1,no,1,other
42,M,0,4,4,teacher,services,5,yes,no,15,1,yes,2,yes,1,father
43,M,0,2,2,services,services,1,yes,yes,15,1,yes,1,no,1,father
44,F,1,2,2,at_home,other,5,no,yes,16,2,yes,2,yes,0,father
45,F,0,3,4,other,other,5,yes,yes,15,1,yes,2,yes,0,mother
46,F,0,3,3,services,other,3,yes,no,16,4,yes,2,no,1,mother
47,M,0,3,4,services,health,2,no,no,16,1,yes,4,yes,1,mother
48,M,0,2,4,other,teacher,5,yes,no,15,2,yes,2,no,1,mother
49,F,1,4,4,teacher,services,3,yes,yes,15,1,yes,2,yes,0,father
50,F,0,2,2,services,services,4,yes,no,16,3,yes,2,no,1,mother
51,F,0,2,4,other,health,5,yes,no,15,1,yes,2,no,1,mother
52,M,1,2,4,health,health,5,no,no,15,4,yes,1,no,0,father
53,F,0,4,4,services,services,5,yes,yes,15,3,yes,1,no,1,mother
54,F,0,3,3,other,other,1,no,no,15,4,yes,1,no,1,mother
55,F,0,1,2,other,other,2,no,no,16,1,yes,2,yes,0,mother
56,F,0,3,4,services,services,1,yes,no,15,1,yes,2,yes,1,mother
57,M,0,4,4,health,teacher,5,yes,no,15,1,yes,2,yes,1,mother
58,M,0,2,1,at_home,other,5,yes,yes,15,1,yes,2,yes,0,father
59,F,0,2,4,other,services,5,yes,no,16,1,yes,2,no,1,mother
60,F,0,4,4,teacher,health,4,yes,no,16,3,yes,2,yes,1,mother
61,F,0,1,1,services,services,5,yes,yes,16,5,yes,1,yes,1,father
62,F,0,2,1,services,other,1,no,yes,16,1,yes,2,yes,0,father
63,F,0,3,4,health,teacher,4,yes,yes,16,4,yes,3,yes,0,mother
64,F,0,3,4,services,services,2,no,yes,15,4,yes,2,yes,0,father
65,F,0,3,4,services,teacher,1,yes,no,16,2,yes,2,yes,1,mother
66,M,0,4,4,services,other,3,yes,no,15,5,yes,4,yes,1,mother
67,F,0,1,3,other,services,5,yes,yes,16,2,yes,4,no,0,mother
68,F,0,2,2,services,health,4,yes,yes,15,3,yes,2,no,0,mother
69,F,0,1,3,other,other,3,yes,no,15,3,yes,4,no,1,father
70,M,0,1,3,other,other,5,yes,no,16,1,yes,4,no,1,father
71,M,0,2,4,other,other,3,no,no,15,1,yes,4,no,0,mother
72,F,2,1,1,other,other,5,yes,yes,15,4,yes,2,no,0,mother
73,M,0,1,3,other,other,5,no,no,16,2,yes,1,yes,1,mother
74,F,0,3,3,services,other,5,yes,yes,16,4,yes,2,yes,1,mother
75,M,0,3,4,other,teacher,5,yes,no,15,3,yes,2,yes,0,mother
76,M,0,0,4,other,teacher,1,no,no,15,1,yes,4,yes,0,mother
77,F,0,2,2,other,other,3,no,no,16,3,yes,4,no,1,mother
78,M,3,1,2,other,other,3,yes,yes,17,1,no,1,yes,0,mother
79,F,0,4,3,other,at_home,3,yes,no,16,2,yes,2,no,0,mother
80,M,0,3,2,services,other,3,yes,yes,15,3,yes,1,yes,1,father
81,M,0,3,2,other,other,5,no,yes,15,2,yes,3,no,1,mother
82,F,0,2,3,other,services,5,yes,no,15,1,yes,2,no,0,mother
