sex,traveltime,failures,absences,G3_class
F,2,0,6,0
F,1,0,4,0
F,1,3,10,0
F,1,0,2,1
F,1,0,4,0
M,1,0,10,1
M,1,0,0,1
F,2,0,6,0
M,1,0,0,1
M,1,0,0,1
F,1,0,0,0
F,3,0,4,1
M,1,0,2,1
M,2,0,2,1
M,1,0,0,1
F,1,0,4,1
F,1,0,6,1
F,3,0,4,0
M,1,3,16,0
M,1,0,4,0
M,1,0,0,1
M,1,0,0,1
M,1,0,2,1
M,2,0,0,1
F,1,0,2,0
F,1,2,14,0
M,1,0,2,1
M,1,0,4,1
M,1,0,4,1
M,1,0,16,1
M,1,0,0,1
M,2,0,0,1
M,1,0,0,1
M,1,0,0,1
M,1,0,0,1
F,2,0,0,0
M,1,0,2,1
M,2,0,7,1
F,1,0,2,1
F,1,0,8,1
F,2,1,25,1
M,1,0,8,1
M,1,0,2,1
M,1,0,0,1
F,2,1,14,0
F,1,0,8,0
F,1,0,12,1
M,1,0,4,1
M,1,0,2,1
F,1,1,2,0
F,3,0,2,1
F,1,0,2,1
M,2,1,6,0
F,1,0,0,1
F,1,0,6,1
F,1,0,8,0
F,1,0,0,1
M,1,0,4,1
M,1,0,2,0
F,1,0,2,1
F,1,0,6,1
F,4,0,6,1
F,1,0,4,0
F,1,0,2,0
F,1,0,0,0
F,3,0,2,1
M,1,0,4,1
F,1,0,4,0
F,2,0,2,0
F,2,0,12,1
M,2,0,0,1
M,1,0,0,0
F,1,2,2,0
M,1,0,2,1
F,1,0,54,1
M,1,0,6,0
M,2,0,8,0
F,1,0,0,1
M,2,3,2,0
F,1,0,12,0
M,1,0,2,1
M,1,0,4,1
F,1,0,10,0
M,2,0,4,1
F,1,0,2,0
F,2,2,6,0
F,1,0,4,0
F,1,0,4,1
M,2,1,12,0
M,1,0,18,0
F,1,0,0,0
F,1,0,4,1
F,1,0,4,0
F,2,0,0,0
M,1,0,6,1
F,2,1,2,0
M,2,0,2,1
F,1,0,2,0
F,1,0,6,1
F,1,0,0,0
M,1,0,14,0
M,1,0,0,1
M,1,0,4,1
F,2,0,26,0
M,1,0,0,1
F,1,0,10,1
F,1,0,8,0
M,1,0,2,1
M,4,0,6,1
F,1,0,4,1
M,1,0,6,1
F,1,1,0,0
F,1,1,6,1
M,1,0,10,1
M,1,0,8,0
M,1,0,2,1
