,sex,Medu,Fedu,Mjob,Fjob,traveltime,failures,higher,internet,freetime,goout,health,absences,G3_class
0,F,4,4,at_home,teacher,2,0,yes,no,3,4,3,6,0
1,F,1,1,at_home,other,1,0,yes,yes,3,3,3,4,0
2,F,1,1,at_home,other,1,3,yes,yes,3,2,3,10,0
3,F,4,2,health,services,1,0,yes,yes,2,2,5,2,1
4,F,3,3,other,other,1,0,yes,no,3,2,5,4,0
5,M,4,3,services,other,1,0,yes,yes,4,2,5,10,1
6,M,2,2,other,other,1,0,yes,yes,4,4,3,0,1
7,F,4,4,other,teacher,2,0,yes,no,1,4,1,6,0
8,M,3,2,services,other,1,0,yes,yes,2,2,1,0,1
9,M,3,4,other,other,1,0,yes,yes,5,1,5,0,1
10,F,4,4,teacher,health,1,0,yes,yes,3,3,2,0,0
11,F,2,1,services,other,3,0,yes,yes,2,2,4,4,1
12,M,4,4,health,services,1,0,yes,yes,3,3,5,2,1
13,M,4,3,teacher,other,2,0,yes,yes,4,3,3,2,1
14,M,2,2,other,other,1,0,yes,yes,5,2,3,0,1
15,F,4,4,health,other,1,0,yes,yes,4,4,2,4,1
16,F,4,4,services,services,1,0,yes,yes,2,3,2,6,1
17,F,3,3,other,other,3,0,yes,no,3,2,4,4,0
18,M,3,2,services,services,1,3,yes,yes,5,5,5,16,0
19,M,4,3,health,other,1,0,yes,yes,1,3,5,4,0
20,M,4,3,teacher,other,1,0,yes,yes,4,1,1,0,1
21,M,4,4,health,health,1,0,yes,yes,4,2,5,0,1
22,M,4,2,teacher,other,1,0,yes,yes,5,1,5,2,1
23,M,2,2,other,other,2,0,yes,yes,4,4,5,0,1
24,F,2,4,services,health,1,0,yes,yes,3,2,5,2,0
25,F,2,2,services,services,1,2,yes,yes,2,2,5,14,0
26,M,2,2,other,other,1,0,yes,yes,2,2,5,2,1
27,M,4,2,health,services,1,0,yes,yes,2,4,1,4,1
28,M,3,4,services,other,1,0,yes,yes,3,3,5,4,1
29,M,4,4,teacher,teacher,1,0,yes,yes,4,5,5,16,1
30,M,4,4,health,services,1,0,yes,yes,4,2,5,0,1
31,M,4,4,services,services,2,0,yes,yes,3,1,5,0,1
32,M,4,3,teacher,at_home,1,0,yes,yes,5,2,5,0,1
33,M,3,3,other,other,1,0,yes,yes,3,2,2,0,1
34,M,3,2,other,other,1,0,yes,yes,4,3,5,0,1
35,F,2,3,other,other,2,0,yes,no,5,1,5,0,0
36,M,4,3,teacher,services,1,0,yes,yes,4,3,4,2,1
37,M,4,4,other,teacher,2,0,yes,yes,4,3,5,7,1
38,F,3,4,services,health,1,0,yes,yes,3,2,5,2,1
39,F,2,2,at_home,other,1,0,yes,no,3,1,2,8,1
40,F,2,2,other,other,2,1,yes,yes,3,3,3,25,1
41,M,4,4,teacher,other,1,0,yes,yes,4,3,5,8,1
42,M,4,4,services,teacher,1,0,yes,yes,3,3,5,2,1
43,M,2,2,services,services,1,0,yes,yes,4,1,1,0,1
44,F,2,2,other,at_home,2,1,yes,yes,3,3,5,14,0
45,F,4,3,other,other,1,0,yes,yes,2,2,5,8,0
46,F,3,3,other,services,1,0,yes,yes,3,5,3,12,1
47,M,4,3,health,services,1,0,yes,yes,2,2,2,4,1
48,M,4,2,teacher,other,1,0,yes,no,3,3,5,2,1
49,F,4,4,services,teacher,1,1,yes,yes,4,4,3,2,0
50,F,2,2,services,services,3,0,yes,yes,3,3,4,2,1
51,F,4,2,health,other,1,0,yes,yes,3,3,5,2,1
52,M,4,2,health,health,2,1,yes,no,5,5,5,6,0
53,F,4,4,services,services,1,0,yes,yes,3,4,5,0,1
54,F,3,3,other,other,1,0,yes,yes,3,4,1,6,1
55,F,2,1,other,other,1,0,yes,yes,3,4,2,8,0
56,F,4,3,services,services,1,0,yes,yes,3,2,1,0,1
57,M,4,4,teacher,health,1,0,yes,no,2,2,5,4,1
58,M,1,2,other,at_home,1,0,yes,yes,3,2,5,2,0
59,F,4,2,services,other,1,0,yes,yes,2,3,5,2,1
60,F,4,4,health,teacher,1,0,yes,no,4,4,4,6,1
61,F,1,1,services,services,4,0,yes,yes,5,5,5,6,1
62,F,1,2,other,services,1,0,yes,yes,4,3,1,4,0
63,F,4,3,teacher,health,1,0,yes,yes,4,4,4,2,0
64,F,4,3,services,services,1,0,yes,yes,4,4,2,0,0
65,F,4,3,teacher,services,3,0,yes,yes,4,3,1,2,1
66,M,4,4,other,services,1,0,yes,yes,3,3,3,4,1
67,F,3,1,services,other,1,0,yes,yes,3,3,5,4,0
68,F,2,2,health,services,2,0,yes,yes,1,3,4,2,0
69,F,3,1,other,other,2,0,yes,yes,4,2,3,12,1
70,M,3,1,other,other,2,0,yes,yes,3,2,5,0,1
71,M,4,2,other,other,1,0,yes,yes,3,3,3,0,0
72,F,1,1,other,other,1,2,yes,yes,3,4,5,2,0
73,M,3,1,other,other,1,0,yes,no,3,2,5,2,1
74,F,3,3,other,services,1,0,yes,yes,3,3,5,54,1
75,M,4,3,teacher,other,1,0,yes,yes,3,3,5,6,0
76,M,4,0,teacher,other,2,0,yes,yes,4,3,1,8,0
77,F,2,2,other,other,1,0,yes,yes,2,3,3,0,1
78,M,2,1,other,other,2,3,no,yes,5,1,3,2,0
79,F,3,4,at_home,other,1,0,yes,yes,4,3,3,12,0
80,M,2,3,other,services,1,0,yes,yes,2,2,3,2,1
81,M,2,3,other,other,1,0,yes,yes,3,2,5,4,1
82,F,3,2,services,other,1,0,yes,yes,4,4,5,10,0
83,M,2,2,services,services,2,0,yes,yes,3,3,4,4,1
84,F,1,1,other,other,1,0,yes,yes,3,2,4,2,0
85,F,4,4,services,services,2,2,yes,yes,4,4,5,6,0
86,F,2,2,at_home,other,1,0,yes,no,3,4,2,4,0
87,F,4,2,other,other,1,0,yes,yes,3,3,1,4,1
88,M,2,2,services,other,2,1,yes,yes,4,2,3,12,0
89,M,4,4,teacher,health,1,0,yes,no,1,3,5,18,0
90,F,3,3,other,other,1,0,yes,yes,3,3,4,0,0
